businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['街道口'],杭州玳数科技有限公司,114335,袋鼠云,150-500人,2019-09-20 09:40:26,洪山区,本科,A轮,数据服务,大数据开发工程师（武汉） (MJ000158),8k-15k
"['关山', '光谷']",北京金山办公软件股份有限公司,7835,金山办公软件,2000人以上,2019-09-17 09:08:03,洪山区,本科,上市公司,移动互联网,大数据开发工程师,20k-35k
,神策网络科技（北京）有限公司,102685,神策数据,150-500人,2019-09-20 19:50:03,武昌区,本科,C轮,数据服务,QA 研发工程师（武汉）,10k-20k
,万翼科技有限公司,62363,万科,2000人以上,2019-09-20 09:32:26,东湖新技术开发区,本科,上市公司,房产家居,大数据开发工程师,17k-34k
,深圳市星际无限科技有限公司,382296,深圳市星际无限科技有限公司,50-150人,2019-09-19 15:41:07,东湖新技术开发区,大专,未融资,"移动互联网,金融",.net开发工程师,8k-13k
,灯塔财经信息有限公司,89908,灯塔财经,50-150人,2019-09-19 14:08:19,东湖新技术开发区,本科,B轮,"移动互联网,金融",算法研发工程师,15k-30k
"['关山', '光谷']",武汉飞猫环球商贸有限公司,383005,武汉飞猫环球商贸有限公司,150-500人,2019-09-18 13:36:28,洪山区,硕士,未融资,"电商,其他",大数据开发工程师,10k-20k
"['珞南', '街道口']",武汉镝次元数据科技有限公司,113404,武汉镝次元,15-50人,2019-09-20 15:02:11,洪山区,本科,天使轮,"数据服务,移动互联网",运维开发工程师,10k-15k
"['中北路', '东湖路', '水果湖']",武汉掌中宝网络科技有限公司,224951,武汉掌中宝,150-500人,2019-09-21 09:17:19,武昌区,本科,未融资,"移动互联网,游戏",C++软件开发（楚河汉街）,15k-30k
,行吟信息科技（上海）有限公司,6542,小红书,500-2000人,2019-09-19 15:52:34,东湖新技术开发区,本科,D轮及以上,消费生活,后端开发工程师,15k-30k
,北京高阳捷迅信息技术有限公司,609,高阳捷迅,500-2000人,2019-09-20 13:53:28,洪山区,本科,未融资,电商,资深测试开发工程师,10k-15k
,北京高阳捷迅信息技术有限公司,609,高阳捷迅,500-2000人,2019-09-20 13:53:28,洪山区,本科,未融资,电商,高级大数据开发工程师,10k-15k
,灯塔财经信息有限公司,89908,灯塔财经,50-150人,2019-09-19 14:08:18,洪山区,本科,B轮,"移动互联网,金融",大数据开发工程师,15k-25k
['流芳'],北京金山云网络技术有限公司,956,金山云,500-2000人,2019-09-20 13:35:48,江夏区,本科,D轮及以上,"移动互联网,数据服务",前端开发工程师,20k-40k
,北京升鑫网络科技有限公司,35630,青藤云安全,150-500人,2019-09-19 17:20:51,东湖新技术开发区,本科,B轮,数据服务,测试开发工程师,12k-23k
"['关山', '光谷']",武汉飞猫环球商贸有限公司,383005,武汉飞猫环球商贸有限公司,150-500人,2019-09-16 17:24:56,洪山区,本科,未融资,"电商,其他",大数据开发工程师,12k-15k
"['关山', '光谷']",思特沃克软件技术（成都）有限公司,67300,ThoughtWorks,2000人以上,2019-09-20 14:34:42,洪山区,本科,不需要融资,企业服务,前端开发工程师,15k-25k
,武汉智领云科技有限公司,146945,智领云,15-50人,2019-09-18 17:22:54,东湖新技术开发区,本科,A轮,"数据服务,移动互联网",运维开发工程师,10k-20k
['中北路'],易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 19:40:21,武昌区,本科,未融资,"企业服务,数据服务",GIS开发工程师（武汉）,10k-18k
,武汉融智盛维科技发展有限公司,492169,融智盛维,50-150人,2019-09-20 11:42:04,江夏区,本科,不需要融资,"文娱丨内容,电商",高级运维开发工程师,15k-28k
"['关山', '光谷']",武汉未来科技城人才企业发展服务有限公司,346316,未来科技城,50-150人,2019-09-22 11:41:38,洪山区,本科,不需要融资,"移动互联网,企业服务",java开发工程师,10k-20k
,武汉极意网络科技有限公司,7682,极验,50-150人,2019-09-20 18:19:29,东湖新技术开发区,本科,B轮,"信息安全,数据服务",建模工程师,15k-30k
,武汉禾大科技有限公司,95418,禾大科技,15-50人,2019-09-20 09:37:24,东湖新技术开发区,本科,天使轮,"移动互联网,消费生活",物联网工程师,7k-14k
"['鲁巷', '关山', '光谷']",武汉未来科技城人才企业发展服务有限公司,346316,未来科技城,50-150人,2019-09-22 11:41:38,洪山区,本科,不需要融资,"移动互联网,企业服务",前端开发工程师,12k-20k
,万翼科技有限公司,62363,万科,2000人以上,2019-09-20 09:32:27,东湖新技术开发区,本科,上市公司,房产家居,大数据平台开发工程师,17k-34k
['水果湖'],武汉未来科技城人才企业发展服务有限公司,346316,未来科技城,50-150人,2019-09-22 11:41:38,武昌区,本科,不需要融资,"移动互联网,企业服务",J2ee高级开发工程师,10k-18k
"['丁字桥', '中南路', '武珞路']",北京广通信达软件股份有限公司杭州分公司,85040,广通软件,150-500人,2019-09-20 16:50:51,武昌区,本科,上市公司,"移动互联网,数据服务",高级JAVA开发工程师（武汉）,10k-20k
,武汉烽火普天信息技术有限公司,87751,烽火普天,50-150人,2019-09-18 11:20:48,东湖新技术开发区,本科,A轮,"企业服务,数据服务",高级java开发工程师,12k-18k
"['丁字桥', '中南路', '武珞路']",北京广通信达软件股份有限公司杭州分公司,85040,广通软件,150-500人,2019-09-20 16:50:50,武昌区,本科,上市公司,"移动互联网,数据服务",Java开发工程师,10k-20k
,武汉斗鱼网络科技有限公司,37236,斗鱼直播,2000人以上,2019-09-09 18:28:08,洪山区,本科,上市公司,文娱丨内容,安全开发助理工程师,4k-6k
"['丁字桥', '中南路', '武珞路']",北京广通信达软件股份有限公司杭州分公司,85040,广通软件,150-500人,2019-09-20 15:42:13,武昌区,本科,上市公司,"移动互联网,数据服务",高级技术经理-武汉,13k-25k
,武汉智领云科技有限公司,146945,智领云,15-50人,2019-09-18 17:22:55,东湖新技术开发区,本科,A轮,"数据服务,移动互联网",Web前端开发工程师,8k-15k
"['光谷', '关山']",北京神州绿盟信息安全科技股份有限公司,30648,绿盟科技,500-2000人,2019-09-16 10:00:25,洪山区,本科,上市公司,信息安全,C/C++研发工程师,15k-25k
,北京构力科技有限公司,222384,pkpm,500-2000人,2019-09-06 17:12:12,洪山区,本科,不需要融资,其他,结构软件开发工程师,9k-16k
