businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['宁南'],众能联合数字技术有限公司,407149,众能联合,500-2000人,2019-09-21 10:15:56,雨花台区,本科,B轮,"移动互联网,企业服务",算法工程师,10k-18k
['开发区'],北京网思科平科技有限公司,64490,网思科平,50-150人,2019-09-20 16:39:39,江宁区,本科,C轮,"信息安全,数据服务",高级java开发工程师,20k-30k
,华风象辑（北京）气象科技有限公司,42557,象辑科技,50-150人,2019-09-19 17:20:28,浦口区,本科,B轮,"移动互联网,数据服务",气象算法工程师,10k-15k
['奥体'],安徽华米信息科技有限公司,190042,华米科技,150-500人,2019-09-18 11:30:24,建邺区,本科,上市公司,移动互联网,android开发工程师,13k-24k
['小行'],南京和电科技有限公司,475954,和电科技,50-150人,2019-09-20 09:02:24,建邺区,不限,未融资,"移动互联网,数据服务",java高级开发工程师,10k-15k
"['安德门', '铁心桥']",北京澎思智能科技有限公司,537931,澎思科技,150-500人,2019-09-17 16:07:26,雨花台区,本科,A轮,人工智能,高级Java开发工程师,15k-30k
"['安德门', '铁心桥']",亚信科技（中国）有限公司,25322,亚信,2000人以上,2019-09-18 11:34:06,雨花台区,本科,上市公司,"企业服务,移动互联网",资深Java工程师,18k-25k
"['双龙大道', '开发区']",上海舟恩信息技术有限公司,130659,舟恩信息,150-500人,2019-09-20 09:44:07,江宁区,本科,不需要融资,移动互联网,java,8k-10k
"['安德门', '铁心桥']",星环信息科技（上海）有限公司,27962,星环科技,150-500人,2019-09-10 10:01:59,雨花台区,不限,C轮,数据服务,高级技术支持工程师 (MJ000039),15k-25k
,南京安元科技有限公司,8274,安元科技,150-500人,2019-09-19 10:04:45,浦口区,本科,D轮及以上,移动互联网,算法工程师,10k-20k
,南京优玛软件科技有限公司,684,南京优玛软件科技有限公司,150-500人,2019-09-06 17:02:04,雨花台区,本科,未融资,移动互联网,前端工程师,8k-13k
['百家湖'],北京中电广通技术服务有限公司,445000,中电广通,50-150人,2019-08-30 10:31:37,江宁区,本科,未融资,移动互联网,高级Java研发工程师,15k-25k
"['安德门', '铁心桥']",星环信息科技（上海）有限公司,27962,星环科技,150-500人,2019-09-10 10:01:59,雨花台区,不限,C轮,数据服务,软件工程师 (MJ000040),10k-20k
,南栖仙策（南京）科技有限公司,746895,南栖仙策,15-50人,2019-09-20 17:11:48,栖霞区,硕士,不需要融资,人工智能,机器学习工程师,20k-40k
['马群'],江苏驭道数据科技有限公司,448179,驭道数据,150-500人,2019-09-11 09:59:38,栖霞区,不限,不需要融资,"移动互联网,人工智能",算法工程师,10k-20k
['宁南'],华为技术有限公司,3060,华为技术有限公司,2000人以上,2019-08-30 10:09:49,雨花台区,本科,不需要融资,通讯电子,web前端开发工程师,10k-20k
"['安德门', '铁心桥']",广州希音供应链管理有限公司,492335,SHEIN,2000人以上,2019-09-20 20:01:55,雨花台区,本科,C轮,"电商,移动互联网",资深运维工程师 (MJ001258),15k-30k
,南栖仙策（南京）科技有限公司,746895,南栖仙策,15-50人,2019-09-20 17:11:48,栖霞区,本科,不需要融资,人工智能,运维工程师,10k-15k
['尧化'],南京摄星智能科技有限公司,554920,摄星科技,15-50人,2019-09-02 14:26:23,栖霞区,不限,天使轮,"移动互联网,人工智能",资深java开发工程师,18k-30k
,南栖仙策（南京）科技有限公司,746895,南栖仙策,15-50人,2019-09-20 17:11:48,栖霞区,本科,不需要融资,人工智能,机器学习平台工程师,20k-40k
,南京杰谱企业管理咨询有限公司,408474,南京杰谱企业管理咨询有限公司,150-500人,2019-08-30 11:23:33,雨花台区,硕士,未融资,人工智能,算法工程师,12k-16k
['尧化'],南京摄星智能科技有限公司,554920,摄星科技,15-50人,2019-09-02 14:19:27,栖霞区,本科,天使轮,"移动互联网,人工智能",资深算法工程师,20k-40k
"['长白街', '夫子庙', '建康路']",杭州初灵信息技术股份有限公司,150192,初灵信息,500-2000人,2019-09-20 10:14:31,秦淮区,本科,上市公司,"移动互联网,数据服务",运维工程师,8k-12k
,北京阿博茨科技有限公司,129068,阿博茨科技,150-500人,2019-09-20 10:18:38,雨花台区,大专,B轮,移动互联网,实施工程师（RPA） (MJ000255),7k-12k
['开发区'],杭州车厘子智能科技有限公司,35980,车纷享,150-500人,2019-09-17 09:43:55,江宁区,本科,不需要融资,移动互联网,运维工程师,15k-25k
['宁南'],青岛易联万家科技有限公司南京分公司,394302,青岛易联南京分公司,15-50人,2019-09-20 17:12:19,雨花台区,本科,未融资,"移动互联网,其他",车载测试,7k-14k
['宁南'],众能联合数字技术有限公司,407149,众能联合,500-2000人,2019-09-21 10:15:56,雨花台区,本科,B轮,"移动互联网,企业服务",高级测试工程师,12k-18k
,平安科技（深圳）有限公司,24748,平安科技,2000人以上,2019-09-22 00:00:11,雨花台区,本科,不需要融资,金融,1111UT-语音识别算法工程师（南京）,12k-22k
['开发区'],杭州车厘子智能科技有限公司,35980,车纷享,150-500人,2019-09-20 10:14:50,江宁区,本科,不需要融资,移动互联网,大数据运维工程师,13k-26k
"['大光路', '大行宫']",北京北森云计算股份有限公司,47323,北森云计算,500-2000人,2019-09-20 17:08:00,秦淮区,本科,上市公司,企业服务,自动化测试工程师（南京/UTM）(J12679),10k-15k
,平安科技（深圳）有限公司,24748,平安科技,2000人以上,2019-09-22 00:00:12,雨花台区,硕士,不需要融资,金融,1111MK-自然语言处理工程师（南京）,12k-22k
['开发区'],杭州车厘子智能科技有限公司,35980,车纷享,150-500人,2019-09-20 10:14:50,江宁区,本科,不需要融资,移动互联网,监控运维工程师,12k-24k
['宁南'],南京云帐房网络科技有限公司北京分公司,140172,云帐房,150-500人,2019-09-19 17:15:02,雨花台区,本科,C轮,移动互联网,测试工程师,11k-17k
"['铁心桥', '宁南']",江苏艾佳家居用品有限公司,47444,艾佳生活,150-500人,2019-09-17 10:33:16,雨花台区,硕士,B轮,电商,高级算法工程师,30k-60k
,飞友科技有限公司,36272,飞常准,500-2000人,2019-09-20 10:12:09,秦淮区,本科,不需要融资,移动互联网,数据分析（南京）,10k-15k
"['宁南', '雨花新村']",杭州腾展科技股份有限公司,24287,腾展科技,50-150人,2019-09-20 15:14:16,雨花台区,本科,上市公司,"移动互联网,社交",软件测试主管,12k-20k
"['宁南', '铁心桥']",虹软科技股份有限公司,305247,虹软科技,500-2000人,2019-09-20 10:04:00,雨花台区,硕士,D轮及以上,"人工智能,物联网",计算机视觉算法研究员,16k-32k
,江苏杰若创信息科技有限公司,277838,GYROTECH,50-150人,2019-09-18 11:41:37,浦口区,本科,未融资,数据服务,生物信息工程师,7k-14k
