businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,北京市商汤科技开发有限公司,40459,商汤科技,2000人以上,2019-09-16 08:27:02,双流区,本科,C轮,人工智能,分布式平台开发工程师,20k-40k
,成都佳明航电科技有限公司,125483,GARMIN佳明,2000人以上,2019-09-20 16:00:59,高新区,本科,上市公司,"移动互联网,通讯电子",Web前端开发工程师,10k-20k
,四川迅游网络科技股份有限公司,15453,迅游网络,150-500人,2019-09-18 11:16:20,武侯区,本科,上市公司,移动互联网,运维开发工程师,10k-20k
,杭州初灵信息技术股份有限公司,150192,初灵信息,500-2000人,2019-09-04 15:10:04,高新区,本科,上市公司,"移动互联网,数据服务",NFV/SDN研发工程师,15k-30k
,成都龙渊网络科技有限公司,17979,龙渊网络,150-500人,2019-09-17 15:01:08,高新区,不限,B轮,"移动互联网,游戏",游戏服务器开发工程师,15k-30k
,北京青云科技股份有限公司,31164,青云,150-500人,2019-09-20 09:10:20,龙泉驿区,本科,D轮及以上,数据服务,前端开发工程师,8k-15k
,中建电子商务有限责任公司,122086,中建电商,150-500人,2019-09-20 12:51:15,高新区,大专,不需要融资,"移动互联网,电商",高级前端开发工程师,15k-25k
,北京三快在线科技有限公司,50702,美团点评,2000人以上,2019-09-19 20:28:48,高新区,本科,上市公司,消费生活,美团闪购-资深数据仓库开发工程师（成都）,20k-40k
,北京广通信达软件股份有限公司杭州分公司,85040,广通软件,150-500人,2019-09-20 15:42:12,高新区,本科,上市公司,"移动互联网,数据服务",Java开发工程师-成都,8k-15k
,成都斯达领科网络科技有限公司,82895640,斯达领科,50-150人,2019-09-20 12:00:12,高新区,本科,天使轮,"电商,物联网",前端工程师,10k-15k
,成都斯沃茨科技有限公司,116684,Swartz,15-50人,2019-09-12 09:58:56,高新区,本科,A轮,"移动互联网,其他",大数据开发工程师,15k-20k
,北京三快在线科技有限公司,50702,美团点评,2000人以上,2019-09-09 19:36:00,高新区,本科,上市公司,消费生活,到家事业群-测试开发技术专家（成都）,20k-35k
,新蛋科技（成都）有限公司,21556,新蛋,500-2000人,2019-09-21 08:28:28,高新区,本科,不需要融资,电商,资深系统工程师,15k-25k
,北京亿佰教育科技有限公司,102581,100课堂,150-500人,2019-09-21 10:32:21,高新区,本科,A轮,"移动互联网,教育",STEAM课程研发,6k-12k
